行政區名,_x0033_碼郵遞區號,中心點經度,中心點緯度,A1死亡人數,A1受傷人數,A2受傷人數,總受傷人數,總傷亡人數
高雄市阿蓮區,822,120.3210967,22.87022883,6,1,382,383,389
高雄市前金區,801,120.2944217,22.6269905,0,0,918,918,918
高雄市前鎮區,806,120.3146749,22.59269724,10,4,4322,4326,4336
高雄市美濃區,843,120.5634635,22.90005529,6,0,353,353,359
高雄市苓雅區,802,120.3209103,22.62359448,4,0,3428,3428,3432
高雄市茂林區,851,120.752384,22.91993256,0,0,4,4,4
高雄市茄萣區,852,120.1980519,22.88241399,7,1,369,370,377
高雄市桃源區,848,120.8523383,23.2249459,1,0,54,54,55
高雄市梓官區,826,120.2593989,22.748209,1,2,557,559,560
高雄市鳥松區,833,120.3727783,22.66249302,6,11,1384,1395,1401
高雄市湖內區,829,120.2259375,22.89324952,3,1,563,564,567
高雄市新興區,800,120.3067337,22.62992906,3,4,1581,1585,1588
高雄市楠梓區,811,120.300758,22.72109961,10,9,3763,3772,3782
高雄市路竹區,821,120.2659871,22.85724171,5,2,1091,1093,1098
高雄市鼓山區,804,120.274163,22.65019525,2,1,2450,2451,2453
高雄市旗山區,842,120.4754554,22.86497033,7,4,621,625,632
高雄市旗津區,805,120.2891539,22.58565583,4,2,318,320,324
高雄市鳳山區,830,120.3554359,22.61379251,12,10,7653,7663,7675
高雄市橋頭區,825,120.3006534,22.75252398,6,3,1293,1296,1302
高雄市燕巢區,824,120.370799,22.78769626,7,0,809,809,816
高雄市彌陀區,827,120.2394571,22.77944528,0,0,224,224,224
高雄市鹽埕區,803,120.2842331,22.62424585,1,0,477,477,478
基隆市七堵區,206,121.683628,25.10962028,0,0,852,852,852
基隆市中山區,203,121.7308913,25.14986365,2,1,723,724,726
基隆市中正區,202,121.7783549,25.14365754,1,1,990,991,992
基隆市仁愛區,200,121.7434205,25.11945421,2,1,968,969,971
基隆市安樂區,204,121.7078325,25.14139521,3,0,852,852,855
基隆市信義區,201,121.772646,25.12576579,1,2,829,831,832
基隆市暖暖區,205,121.7447344,25.08097003,1,1,528,529,530
連江縣北竿鄉,210,119.994251,26.225637,0,0,13,13,13
連江縣東引鄉,212,120.4903,26.366101,0,0,4,4,4
連江縣南竿鄉,209,119.931128,26.154321,0,0,36,36,36
連江縣莒光鄉,211,119.938877,25.97298,0,0,3,3,3
雲林縣二崙鄉,649,120.3964598,23.7925521,9,4,263,267,276
雲林縣口湖鄉,653,120.1413711,23.55365395,3,1,216,217,220
雲林縣土庫鎮,633,120.3647252,23.69110665,7,1,409,410,417
雲林縣大埤鄉,631,120.4255592,23.6455971,3,0,259,259,262
雲林縣元長鄉,655,120.3279617,23.64243095,3,1,255,256,259
雲林縣斗六市,640,120.5600044,23.70651883,13,8,3607,3615,3628
雲林縣斗南鎮,630,120.4826356,23.67066393,8,1,1137,1138,1146
雲林縣水林鄉,652,120.2352734,23.56162849,1,0,270,270,271
雲林縣北港鎮,651,120.2940164,23.59219528,8,6,1012,1018,1026
雲林縣古坑鄉,646,120.6117351,23.62545469,3,0,440,440,443
雲林縣四湖鄉,654,120.2064699,23.64206875,4,0,229,229,233
雲林縣西螺鎮,648,120.4580795,23.77942109,6,0,854,854,860
雲林縣東勢鄉,635,120.2564173,23.69612324,1,0,182,182,183
雲林縣林內鄉,643,120.6155018,23.7557209,3,1,247,248,251
雲林縣虎尾鎮,632,120.4293061,23.71661545,13,6,2634,2640,2653
雲林縣崙背鄉,637,120.3339769,23.77849791,3,1,259,260,263
雲林縣麥寮鄉,638,120.243533,23.78817056,5,2,784,786,791
雲林縣莿桐鄉,647,120.5290419,23.76973894,6,4,367,371,377
雲林縣臺西鄉,636,120.2054952,23.71600815,4,0,263,263,267
雲林縣褒忠鄉,634,120.3116122,23.71613204,2,1,137,138,140
新北市八里區,249,121.4138359,25.13812763,3,0,801,801,804
新北市三芝區,252,121.515558,25.23159891,1,0,204,204,205
新北市三重區,241,121.4870977,25.06281651,8,5,7917,7922,7930
新北市三峽區,237,121.4163094,24.88209766,8,6,1654,1660,1668
新北市土城區,236,121.445737,24.96425102,8,1,2840,2841,2849
新北市中和區,235,121.4936744,24.99088039,4,3,5346,5349,5353
新北市五股區,248,121.4332139,25.09614746,8,1,2295,2296,2304
新北市平溪區,226,121.7578817,25.02607068,0,0,36,36,36
新北市永和區,234,121.516745,25.00810199,2,0,3263,3263,3265
新北市石門區,253,121.5692761,25.26518079,2,0,97,97,99
新北市石碇區,223,121.6472277,24.94714107,2,3,179,182,184
新北市汐止區,221,121.6546992,25.07331322,10,22,2522,2544,2554
新北市坪林區,232,121.724223,24.91097073,3,0,290,290,293
新北市板橋區,220,121.4579675,25.01186453,14,8,8114,8122,8136
新北市林口區,244,121.3527235,25.1000868,5,1,1420,1421,1426
新北市金山區,208,121.6052639,25.21714594,1,0,163,163,164
新北市泰山區,243,121.4162785,25.05549774,3,0,1880,1880,1883
新北市烏來區,233,121.5414806,24.78824295,1,0,37,37,38
新北市貢寮區,228,121.9182466,25.02485641,3,1,68,69,72
